kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
ABT-2A;Senin;08.20 - 09.10;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;105
ABT-4A;Senin;08.20 - 09.10;4;manajemen pengadaan barang dan jasa;3;6;Restu Jati Saputro, S.Si., M.Sc;115
ABT-6A;Senin;08.20 - 09.10;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;online
ABT-2A;Senin;09.10 - 10.00;2;Pengantar Manajemen;2;4;Yuningsih, S.E., M.Si.;113
ABT-4A;Senin;09.10 - 10.00;4;manajemen pengadaan barang dan jasa;3;6;Restu Jati Saputro, S.Si., M.Sc;115
ABT-6A;Senin;09.10 - 10.00;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;106
ABT-2A;Senin;10.00 - 10.50;2;Pengantar Manajemen;2;4;Yuningsih, S.E., M.Si.;113
ABT-4A;Senin;10.00 - 10.50;4;manajemen pengadaan barang dan jasa;3;6;Restu Jati Saputro, S.Si., M.Sc;115
ABT-6A;Senin;10.00 - 10.50;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;106
ABT-2A;Senin;10.50 - 11.40;2;Komunikasi Bisnis;2;4;Risya Zahrotul Firdaus, S.I.Kom., M.Si;108
ABT-4A;Senin;10.50 - 11.40;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;201
ABT-6A;Senin;10.50 - 11.40;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;105
ABT-2A;Senin;12.30 - 13.20;2;Komunikasi Bisnis;2;4;Risya Zahrotul Firdaus, S.I.Kom., M.Si;108
ABT-4A;Senin;12.30 - 13.20;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;201
ABT-6A;Senin;12.30 - 13.20;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;105
ABT-2A;Senin;13.20 - 14.10;2;Pengantar Ilmu Ekonomi;2;4;Adilah Permananingrum, S.E., M.Sc.;112
ABT-6A;Senin;13.20 - 14.10;6;E- Logistics;2;4;Restu Jati Saputro, S.Si., M.Sc;online
ABT-2A;Senin;14.10 - 15.00;2;Pengantar Ilmu Ekonomi;2;4;Adilah Permananingrum, S.E., M.Sc.;112
ABT-6A;Senin;14.10 - 15.00;6;E- Logistics;2;4;Restu Jati Saputro, S.Si., M.Sc;online
ABT-4A;Senin;15.15 - 16.05;4;Manajemen Keuangan;3;6;Adilah Permananingrum, S.E., M.Sc.;online
ABT-4A;Senin;16.05 - 16.55;4;Manajemen Keuangan;3;6;Adilah Permananingrum, S.E., M.Sc.;online
ABT-2A;Selasa;07.30 - 08.20;2;Pemasaran dan Pelayanan Pelanggan;2;4;Dr. Dra. Iis Mariam, M.Si;103
ABT-4A;Selasa;07.30 - 08.20;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;310
ABT-6A;Selasa;07.30 - 08.20;6;Statistik Bisnis;3;6;Yoshua Ardy Putra , S.Si., M.T.;202
